127.0.0.1 - - [20/Apr/2023:17:57:18 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:20 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:20 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:20 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:26 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:39 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:51 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:53 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:53 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:57:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:59:35 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5757
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:59:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:59:59 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [20/Apr/2023:17:59:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:11 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:26 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:31 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:42 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:47 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:57 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:01:59 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:02:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:02:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:02:39 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:02:39 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:02:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:03:09 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:20:13 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:36:15 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:36:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:38:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:45:09 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [20/Apr/2023:18:46:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
