127.0.0.1 - - [11/May/2023:17:05:38 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/May/2023:17:05:39 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [11/May/2023:17:05:39 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [11/May/2023:17:05:39 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [11/May/2023:17:06:21 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [11/May/2023:17:24:44 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [11/May/2023:17:24:44 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/May/2023:17:28:57 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [11/May/2023:17:29:20 +0530] "GET /ORS_Project4/ctl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [11/May/2023:17:34:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:17:34:15 +0530] "GET /ORS_Project4/ctl HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [11/May/2023:17:34:15 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 200 20016
0:0:0:0:0:0:0:1 - - [11/May/2023:17:34:15 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [11/May/2023:17:36:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [11/May/2023:17:37:12 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13707
0:0:0:0:0:0:0:1 - - [11/May/2023:17:37:12 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [11/May/2023:17:37:12 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [11/May/2023:17:37:40 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [11/May/2023:17:37:45 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [11/May/2023:17:38:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:17:38:20 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13707
0:0:0:0:0:0:0:1 - - [11/May/2023:17:40:50 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [11/May/2023:17:41:02 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [11/May/2023:17:41:09 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [11/May/2023:17:41:33 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [11/May/2023:17:45:15 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [11/May/2023:17:45:24 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [11/May/2023:17:45:34 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [11/May/2023:17:45:49 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:17:45:49 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [11/May/2023:17:45:54 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:10 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:10 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:59 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [11/May/2023:17:46:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:17:50:54 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [11/May/2023:17:50:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:17:52:33 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [11/May/2023:17:52:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:17:52:50 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 6026
0:0:0:0:0:0:0:1 - - [11/May/2023:17:52:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:17:58:39 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 6026
0:0:0:0:0:0:0:1 - - [11/May/2023:17:58:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:18:05:21 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:18:05:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [11/May/2023:18:05:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:18:11:25 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [11/May/2023:18:11:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:18:11:34 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [11/May/2023:18:11:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:18:11:50 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [11/May/2023:18:11:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:18:12:55 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [11/May/2023:18:12:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/May/2023:18:16:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [11/May/2023:18:16:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2023:18:16:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [11/May/2023:18:17:25 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13707
