127.0.0.1 - - [05/Mar/2024:20:09:37 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:38 +0530] "GET /ORS_Project4/index.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:38 +0530] "GET /ORS_Project4/img/svvvlogo.jpg HTTP/1.1" 200 12113
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:38 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:40 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:40 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:46 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:09:49 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:21:40 +0530] "GET /ORS_Project4/jsp/Header.jsp HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:21:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:21:50 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:21:50 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:21:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:22:59 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:22:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:23:15 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:23:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:23:48 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:23:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:23:53 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:24:14 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5780
